EXP_NAME,FILENAME,MEDIA,PRED_ROI,DPG,TRUE_ROI,APE_ROI,USE_PROPHET,CALIBRATION_FACEBOOK,CALIBRATION_TV,CALIBRATION_SEARCH,SEGMENT_NAME
prophet_TRUE_calib_spend_Facebook,RobynModel-1_58_9.json,TV,3.3268,dgp3_1000_3_01,2.106915603673,0.5789906317084403,1,1,0,0,1. Facebook
prophet_TRUE_calib_spend_Facebook,RobynModel-1_45_12.json,TV,4.3939,dgp3_1000_3_01,2.106915603673,1.0854655935624975,1,1,0,0,1. Facebook
prophet_FALSE_calib_spend_Facebook_spend_TV,RobynModel-1_43_1.json,TV,2.2645,dgp3_1000_3_01,2.106915603673,0.07479388165918091,0,1,1,0,4. Facebook_TV
prophet_FALSE_calib_spend_Facebook_spend_TV,RobynModel-1_52_15.json,TV,2.5705,dgp3_1000_3_01,2.106915603673,0.2200298842150252,0,1,1,0,4. Facebook_TV
prophet_FALSE_calib_spend_Facebook_spend_TV,RobynModel-1_55_1.json,TV,2.3063,dgp3_1000_3_01,2.106915603673,0.0946333094592929,0,1,1,0,4. Facebook_TV
prophet_FALSE_calib_spend_Facebook_spend_TV,RobynModel-3_25_2.json,TV,2.4691,dgp3_1000_3_01,2.106915603673,0.17190265983867684,0,1,1,0,4. Facebook_TV
prophet_FALSE_calib_spend_Facebook_spend_TV,RobynModel-1_35_7.json,TV,2.6259,dgp3_1000_3_01,2.106915603673,0.24632424546206375,0,1,1,0,4. Facebook_TV
prophet_FALSE_calib_spend_Facebook_spend_TV,RobynModel-1_32_4.json,TV,2.3778,dgp3_1000_3_01,2.106915603673,0.12856917280159,0,1,1,0,4. Facebook_TV
prophet_FALSE_calib_spend_Facebook_spend_TV,RobynModel-1_42_7.json,TV,2.7525,dgp3_1000_3_01,2.106915603673,0.30641208181359925,0,1,1,0,4. Facebook_TV
prophet_TRUE_calib_spend_TV,RobynModel-1_29_3.json,TV,2.4224,dgp3_1000_3_01,2.106915603673,0.14973755748783396,1,0,1,0,2. TV
prophet_TRUE_calib_spend_TV,RobynModel-1_48_9.json,TV,2.4028,dgp3_1000_3_01,2.106915603673,0.14043485928491056,1,0,1,0,2. TV
prophet_TRUE_calib_spend_TV,RobynModel-1_60_5.json,TV,2.2702,dgp3_1000_3_01,2.106915603673,0.07749925817737802,1,0,1,0,2. TV
prophet_TRUE_calib_spend_TV,RobynModel-1_10_4.json,TV,2.2638,dgp3_1000_3_01,2.106915603673,0.07446164243764786,1,0,1,0,2. TV
prophet_FALSE_calib_,RobynModel-1_39_5.json,TV,2.8872,dgp3_1000_3_01,2.106915603673,0.3703444005857307,0,0,0,0,0. None
prophet_FALSE_calib_,RobynModel-1_11_7.json,TV,0.4178,dgp3_1000_3_01,2.106915603673,0.801700647490746,0,0,0,0,0. None
prophet_FALSE_calib_,RobynModel-1_38_3.json,TV,4.5293,dgp3_1000_3_01,2.106915603673,1.1497301515561618,0,0,0,0,0. None
prophet_FALSE_calib_,RobynModel-1_28_11.json,TV,2.1171,dgp3_1000_3_01,2.106915603673,0.004833794153522701,0,0,0,0,0. None
prophet_FALSE_calib_spend_Facebook,RobynModel-1_35_3.json,TV,4.5094,dgp3_1000_3_01,2.106915603673,1.1402850651154386,0,1,0,0,1. Facebook
prophet_FALSE_calib_spend_Facebook,RobynModel-1_43_12.json,TV,3.4575,dgp3_1000_3_01,2.106915603673,0.6410244406432405,0,1,0,0,1. Facebook
prophet_FALSE_calib_spend_Facebook,RobynModel-2_32_13.json,TV,3.7726,dgp3_1000_3_01,2.106915603673,0.7905795530790135,0,1,0,0,1. Facebook
prophet_FALSE_calib_spend_Facebook,RobynModel-1_41_4.json,TV,3.6625,dgp3_1000_3_01,2.106915603673,0.7383230698064696,0,1,0,0,1. Facebook
prophet_TRUE_calib_spend_Facebook_spend_TV,RobynModel-1_41_15.json,TV,2.6088,dgp3_1000_3_01,2.106915603673,0.23820811590747237,1,1,1,0,4. Facebook_TV
prophet_TRUE_calib_spend_Facebook_spend_TV,RobynModel-1_40_2.json,TV,1.95,dgp3_1000_3_01,2.106915603673,0.07447645430099238,1,1,1,0,4. Facebook_TV
prophet_TRUE_calib_spend_Facebook_spend_TV,RobynModel-1_53_6.json,TV,2.5124,dgp3_1000_3_01,2.106915603673,0.1924540288277881,1,1,1,0,4. Facebook_TV
prophet_TRUE_calib_spend_Facebook_spend_TV,RobynModel-1_48_11.json,TV,2.7352,dgp3_1000_3_01,2.106915603673,0.29820102676714133,1,1,1,0,4. Facebook_TV
prophet_TRUE_calib_spend_Facebook_spend_TV,RobynModel-1_16_5.json,TV,2.197,dgp3_1000_3_01,2.106915603673,0.04275652815421531,1,1,1,0,4. Facebook_TV
prophet_FALSE_calib_spend_TV,RobynModel-1_23_15.json,TV,2.1727,dgp3_1000_3_01,2.106915603673,0.031223080892427573,0,0,1,0,2. TV
prophet_FALSE_calib_spend_TV,RobynModel-1_33_3.json,TV,2.3361,dgp3_1000_3_01,2.106915603673,0.10877720774741119,0,0,1,0,2. TV
prophet_FALSE_calib_spend_TV,RobynModel-1_29_5.json,TV,2.1718,dgp3_1000_3_01,2.106915603673,0.030795916179028184,0,0,1,0,2. TV
prophet_FALSE_calib_spend_TV,RobynModel-1_32_9.json,TV,2.3954,dgp3_1000_3_01,2.106915603673,0.13692261608584763,0,0,1,0,2. TV
prophet_FALSE_calib_spend_TV,RobynModel-1_28_4.json,TV,2.33,dgp3_1000_3_01,2.106915603673,0.10588198024548096,0,0,1,0,2. TV
prophet_FALSE_calib_spend_TV,RobynModel-1_31_7.json,TV,2.4006,dgp3_1000_3_01,2.106915603673,0.13939067887437825,0,0,1,0,2. TV
